Date,DayGainPercentage
2021-02-26 10:32:58,-0.589568
2021-02-26 10:44:02,0.336516
2021-02-26 11:00:02,0.718255
2021-02-26 11:14:02,0.741518
2021-02-26 11:22:24,0.640767
2021-02-26 11:23:25,0.665928
2021-02-26 11:25:16,0.517576
2021-02-26 11:29:01,0.677301
2021-02-26 11:44:01,1.26464
2021-02-26 12:00:02,1.30103
2021-02-26 12:14:02,1.71546
2021-02-26 12:29:01,1.56243
2021-02-26 12:44:01,1.48625
2021-02-26 13:00:01,1.29099
2021-02-26 13:14:02,1.27885
2021-02-26 13:29:02,1.68461
2021-02-26 13:44:01,1.16959
2021-02-26 14:00:01,0.964379
2021-02-26 14:14:01,0.943875
2021-02-26 14:29:01,0.809799
2021-02-26 14:44:02,0.990317
2021-02-26 15:00:02,1.13429
2021-02-26 15:14:02,1.40312
2021-02-26 15:29:01,0.987581
2021-02-26 15:44:02,1.34786
2021-02-26 16:00:01,0.558774
2021-02-26 16:14:01,0.555763
2021-02-26 16:29:01,0.555763
2021-02-26 16:44:03,0.555763
2021-02-26 17:00:02,0.555779
2021-02-26 17:14:01,0.555779
2021-02-26 17:29:02,0.555779
2021-02-26 17:44:02,0.555779
